State,Year,Average Temperature (F)
Alabama,197712,44.8
Alabama,197801,35.6
Alabama,197802,38.8
Alabama,197803,51.2
Alabama,197804,63.9
Alabama,197805,70
Alabama,197806,78
Alabama,197807,80.7
Alabama,197808,79.3
Alabama,197809,76.9
Alabama,197810,62.2
Alabama,197811,59.2
Alabama,197812,46.6
Alabama,197901,37.8
Alabama,197902,43.6
Alabama,197903,55.8
Alabama,197904,63.6
Alabama,197905,69.5
Alabama,197906,75.2
Alabama,197907,79
Alabama,197908,78.4
Alabama,197909,72.6
Alabama,197910,62.4
Alabama,197911,52.8
Alabama,197912,45.6
Alabama,198001,46.7
Alabama,198002,42.7
Alabama,198003,52.6
Alabama,198004,60.6
Alabama,198005,70.2
Alabama,198006,77.4
Alabama,198007,82.6
Alabama,198008,81.5
Alabama,198009,78.1
Alabama,198010,60.2
Alabama,198011,52
Alabama,198012,45
Alabama,198101,39.5
Alabama,198102,47.2
Alabama,198103,52.2
Alabama,198104,66.8
Alabama,198105,67.3
Alabama,198106,79.9
Alabama,198107,81.4
Alabama,198108,78.3
Alabama,198109,71.5
Alabama,198110,61.8
Alabama,198111,54.8
Alabama,198112,43.1
Alabama,198201,42.9
Alabama,198202,48.4
Alabama,198203,58.5
Alabama,198204,60.4
Alabama,198205,71.7
Alabama,198206,76.3
Alabama,198207,79.5
Alabama,198208,78.6
Alabama,198209,72.2
Alabama,198210,64.1
Alabama,198211,55.1
Alabama,198212,52.4
Alabama,198301,42.1
Alabama,198302,46.6
Alabama,198303,52
Alabama,198304,57.8
Alabama,198305,68.6
Alabama,198306,74.5
Alabama,198307,80.6
Alabama,198308,81.1
Alabama,198309,72
Alabama,198310,64
Alabama,198311,53.2
Alabama,198312,41.8
Alabama,198401,40.3
Alabama,198402,48.6
Alabama,198403,53.7
Alabama,198404,61
Alabama,198405,68.8
Alabama,198406,77
Alabama,198407,78.2
Alabama,198408,77.3
Alabama,198409,72.5
Alabama,198410,69.5
Alabama,198411,51.8
Alabama,198412,55.1
Alabama,198501,37.2
Alabama,198502,45.5
Alabama,198503,58.7
Alabama,198504,64
Alabama,198505,70.6
Alabama,198506,77.5
Alabama,198507,78.5
Alabama,198508,78.4
Alabama,198509,72.7
Alabama,198510,67.6
Alabama,198511,61.2
Alabama,198512,41.6
Alabama,198601,43.1
Alabama,198602,51.5
Alabama,198603,55.4
Alabama,198604,62.5
Alabama,198605,71.4
Alabama,198606,79
Alabama,198607,82.3
Alabama,198608,78.4
Alabama,198609,76.4
Alabama,198610,64.4
Alabama,198611,58.8
Alabama,198612,45.9
Alabama,198701,43
Alabama,198702,48.2
Alabama,198703,55.7
Alabama,198704,60.2
Alabama,198705,73.4
Alabama,198706,77
Alabama,198707,80.2
Alabama,198708,81.3
Alabama,198709,73.6
Alabama,198710,57.8
Alabama,198711,55.7
Alabama,198712,50.4
Alabama,198801,40.7
Alabama,198802,45.4
Alabama,198803,54.3
Alabama,198804,62.8
Alabama,198805,68.3
Alabama,198806,77.1
Alabama,198807,78.9
Alabama,198808,80.4
Alabama,198809,74.5
Alabama,198810,59.2
Alabama,198811,56.5
Alabama,198812,46.8
Alabama,198901,50.6
Alabama,198902,48.1
Alabama,198903,57.3
Alabama,198904,61.1
Alabama,198905,68.6
Alabama,198906,76
Alabama,198907,78.6
Alabama,198908,78.6
Alabama,198909,72.9
Alabama,198910,62.3
Alabama,198911,54
Alabama,198912,38.3
Alabama,199001,49.8
Alabama,199002,54.7
Alabama,199003,58.1
Alabama,199004,61.4
Alabama,199005,69.4
Alabama,199006,77.6
Alabama,199007,79.5
Alabama,199008,80.9
Alabama,199009,76.3
Alabama,199010,64
Alabama,199011,56.4
Alabama,199012,50.9
Alabama,199101,45.8
Alabama,199102,50.4
Alabama,199103,56.9
Alabama,199104,65.9
Alabama,199105,73.2
Alabama,199106,76.8
Alabama,199107,80.5
Alabama,199108,78.8
Alabama,199109,74.4
Alabama,199110,64.6
Alabama,199111,50.4
Alabama,199112,49.8
Alabama,199201,44.1
Alabama,199202,51.4
Alabama,199203,54.9
Alabama,199204,61.5
Alabama,199205,68
Alabama,199206,74.9
Alabama,199207,79.9
Alabama,199208,75.8
Alabama,199209,73.4
Alabama,199210,61.9
Alabama,199211,52.4
Alabama,199212,47.1
Alabama,199301,48.8
Alabama,199302,46.2
Alabama,199303,51.7
Alabama,199304,58.7
Alabama,199305,68.8
Alabama,199306,77.6
Alabama,199307,82.2
Alabama,199308,80.1
Alabama,199309,74
Alabama,199310,62.8
Alabama,199311,51.7
Alabama,199312,45.3
Alabama,199401,40.8
Alabama,199402,50.3
Alabama,199403,55.7
Alabama,199404,64.7
Alabama,199405,68.4
Alabama,199406,77.8
Alabama,199407,77.6
Alabama,199408,77.2
Alabama,199409,72.2
Alabama,199410,64
Alabama,199411,58
Alabama,199412,49.9
Alabama,199501,45.4
Alabama,199502,47.6
Alabama,199503,58.2
Alabama,199504,63.2
Alabama,199505,72.1
Alabama,199506,75.2
Alabama,199507,81.1
Alabama,199508,81.9
Alabama,199509,73.7
Alabama,199510,63.6
Alabama,199511,49.7
Alabama,199512,44.7
Alabama,199601,43.5
Alabama,199602,47.3
Alabama,199603,50.9
Alabama,199604,60
Alabama,199605,73
Alabama,199606,76.7
Alabama,199607,79.6
Alabama,199608,77.9
Alabama,199609,72.1
Alabama,199610,62.7
Alabama,199611,52.7
Alabama,199612,49.1
Alabama,199701,45.9
Alabama,199702,50.8
Alabama,199703,61.2
Alabama,199704,58.8
Alabama,199705,67.2
Alabama,199706,74
Alabama,199707,80.1
Alabama,199708,77.7
Alabama,199709,74.8
Alabama,199710,63.1
Alabama,199711,50
Alabama,199712,44.8
Alabama,199801,47.8
Alabama,199802,49.2
Alabama,199803,53.4
Alabama,199804,61.6
Alabama,199805,73.6
Alabama,199806,80.7
Alabama,199807,81.8
Alabama,199808,79.9
Alabama,199809,77.4
Alabama,199810,66.8
Alabama,199811,57.9
Alabama,199812,51.4
Alabama,199901,49.4
Alabama,199902,51.8
Alabama,199903,52.8
Alabama,199904,67.1
Alabama,199905,69.5
Alabama,199906,76.7
Alabama,199907,80.5
Alabama,199908,81.8
Alabama,199909,73.3
Alabama,199910,63.6
Alabama,199911,56.2
Alabama,199912,47
Alabama,200001,46.5
Alabama,200002,52.3
Alabama,200003,58.9
Alabama,200004,60.1
Alabama,200005,74
Alabama,200006,77.6
Alabama,200007,81.9
Alabama,200008,81
Alabama,200009,73.9
Alabama,200010,64.6
Alabama,200011,52.8
Alabama,200012,39.2
Alabama,200101,41.2
Alabama,200102,52.6
Alabama,200103,51.4
Alabama,200104,64.7
Alabama,200105,70.6
Alabama,200106,75.8
Alabama,200107,79.7
Alabama,200108,78.5
Alabama,200109,71.9
Alabama,200110,60.6
Alabama,200111,58.8
Alabama,200112,50.6
Alabama,200201,46.8
Alabama,200202,46
Alabama,200203,55
Alabama,200204,66.4
Alabama,200205,70.2
Alabama,200206,77.2
Alabama,200207,80.3
Alabama,200208,79.7
Alabama,200209,77.3
Alabama,200210,67.8
Alabama,200211,51
Alabama,200212,45.2
Alabama,200301,40
Alabama,200302,48
Alabama,200303,57.6
Alabama,200304,63.3
Alabama,200305,71.6
Alabama,200306,75.6
Alabama,200307,78.5
Alabama,200308,79.4
Alabama,200309,73.1
Alabama,200310,63.5
Alabama,200311,58.2
Alabama,200312,44
Alabama,200401,44.2
Alabama,200402,45.4
Alabama,200403,59
Alabama,200404,61.2
Alabama,200405,72.7
Alabama,200406,76.8
Alabama,200407,79.2
Alabama,200408,76.3
Alabama,200409,73.8
Alabama,200410,68.5
Alabama,200411,57.8
Alabama,200412,45.1
Alabama,200501,49.2
Alabama,200502,51.2
Alabama,200503,53.5
Alabama,200504,61
Alabama,200505,68.3
Alabama,200506,76.7
Alabama,200507,80.4
Alabama,200508,80.5
Alabama,200509,76.9
Alabama,200510,63.8
Alabama,200511,55.8
Alabama,200512,43.4
Alabama,200601,51.1
Alabama,200602,46.1
Alabama,200603,56.1
Alabama,200604,67.5
Alabama,200605,70.4
Alabama,200606,78.1
Alabama,200607,81.9
Alabama,200608,82.3
Alabama,200609,72.8
Alabama,200610,61.9
Alabama,200611,52.8
Alabama,200612,49.4
Alabama,200701,46.7
Alabama,200702,44.8
Alabama,200703,60
Alabama,200704,60
Alabama,200705,71.2
Alabama,200706,78.8
Alabama,200707,79.2
Alabama,200708,84.4
Alabama,200709,76
Alabama,200710,66.5
Alabama,200711,53.6
Alabama,200712,51.6
Alabama,200801,43
Alabama,200802,49.2
Alabama,200803,55.2
Alabama,200804,62.8
Alabama,200805,70.3
Alabama,200806,78.7
Alabama,200807,80
Alabama,200808,78.4
Alabama,200809,74.5
Alabama,200810,62.2
Alabama,200811,51
Alabama,200812,49.7
Alabama,200901,45.3
Alabama,200902,48.2
Alabama,200903,57.3
Alabama,200904,61.4
Alabama,200905,71.2
Alabama,200906,79.4
Alabama,200907,78.1
Alabama,200908,78
Alabama,200909,75
Alabama,200910,62.8
Alabama,200911,53.4
Alabama,200912,44.8
Alabama,201001,40
Alabama,201002,40.6
Alabama,201003,51.2
Alabama,201004,64.2
Alabama,201005,73.3
Alabama,201006,80.9
Alabama,201007,82.6
Alabama,201008,83
Alabama,201009,76.9
Alabama,201010,64.3
Alabama,201011,55.2
Alabama,201012,40.3
Alabama,201101,41.1
Alabama,201102,49.5
Alabama,201103,57.8
Alabama,201104,65.7
Alabama,201105,69.9
Alabama,201106,81.2
Alabama,201107,81.7
Alabama,201108,81.8
Alabama,201109,72.1
Alabama,201110,60.6
Alabama,201111,55.3
Alabama,201112,49.3
Alabama,201201,50.1
Alabama,201202,52.1
Alabama,201203,64.6
Alabama,201204,65
Alabama,201205,73.4
Alabama,201206,76.8
Alabama,201207,81.6
Alabama,201208,78.1
Alabama,201209,73
Alabama,201210,62.2
Alabama,201211,51.2
Alabama,201212,50.9
Alabama,201301,50
Alabama,201302,48
Alabama,201303,49.8
Alabama,201304,62.2
Alabama,201305,68.2
Alabama,201306,78
Alabama,201307,77.7
Alabama,201308,77.9
Alabama,201309,75
Alabama,201310,64.9
Alabama,201311,51.6
Alabama,201312,47.9
Alabama,201401,37.3
Alabama,201402,47.3
Alabama,201403,52.3
Alabama,201404,62.4
Alabama,201405,70.2
Alabama,201406,77.9
Alabama,201407,77.8
Alabama,201408,79.5
Alabama,201409,76.3
Alabama,201410,65.2
Alabama,201411,48.2
Alabama,201412,50
Alabama,201501,43.6
Alabama,201502,41.3
Alabama,201503,57.8
Alabama,201504,66
Alabama,201505,71.8
Alabama,201506,78.8
Alabama,201507,81.6
Alabama,201508,79
Alabama,201509,74.4
Alabama,201510,65
Alabama,201511,59.2
Alabama,201512,56.9
Alabama,201601,43
Alabama,201602,49.8
Alabama,201603,59.7
Alabama,201604,63.6
Alabama,201605,70.2
Alabama,201606,79.2
Alabama,201607,82
Alabama,201608,81.6
Alabama,201609,78.6
Alabama,201610,68.5
Alabama,201611,57.8
Alabama,201612,50.1
Alabama,201701,52.4
Alabama,201702,55.6
Alabama,201703,58.4
Alabama,201704,67.2
Alabama,201705,69.9
Alabama,201706,75.8
Alabama,201707,80.6
Alabama,201708,78.8
Alabama,201709,73.4
Alabama,201710,65.8
Alabama,201711,55.6
Alabama,201712,46.9
Alabama,201801,40.4
Alabama,201802,58
Alabama,201803,55.4
Alabama,201804,59.5
Alabama,201805,74.4
Alabama,201806,79.3
Alabama,201807,80.7
Alabama,201808,79.5
Alabama,201809,79.4
Alabama,201810,67.4
Alabama,201811,50.4
Alabama,201812,49
Alabama,201901,46.5
Alabama,201902,56.1
Alabama,201903,55
Alabama,201904,63.5
Alabama,201905,74.2
Alabama,201906,78.1
Alabama,201907,80.6
Alabama,201908,80.6
Alabama,201909,80.2
Alabama,201910,67.8
Alabama,201911,50.6
Alabama,201912,51.3
Alabama,202001,49.5
Alabama,202002,51
Alabama,202003,63.5
Alabama,202004,62
Alabama,202005,68.9
Alabama,202006,76.9
Alabama,202007,80.9
Alabama,202008,80.2
Alabama,202009,74.3
Alabama,202010,66.9
Alabama,202011,58.4
Alabama,202012,45.9
Alabama,202101,46.6
Alabama,202102,46.7
Alabama,202103,59.6
Alabama,202104,61.6
Alabama,202105,69.4
Alabama,202106,77
Alabama,202107,79.3
Alabama,202108,80
Alabama,202109,73.9
Alabama,202110,67.3
Alabama,202111,52.2
Alabama,202112,56.8
Alabama,202201,43.9
Alabama,202202,50.1
Alabama,202203,57.4
Alabama,202204,62.6
Alabama,202205,73.5
Alabama,202206,80.4
Alabama,202207,81.7
Alabama,202208,79.3
Alabama,202209,73.7
Alabama,202210,61.2
Alabama,202211,55.3
Alabama,202212,49.1
Alabama,202301,51.4
Alabama,202302,56.5
Alabama,202303,58.7
Alabama,202304,63.3
Alabama,202305,70.3
Alabama,202306,76.6
Alabama,202307,81
Alabama,202308,82.1
Alabama,202309,75.7
Alabama,202310,65.2
Alabama,202311,54.5
Alabama,202312,48.8
Alabama,202401,43.3
Alabama,202402,52.6
Alabama,202403,58
Alabama,202404,64.2
Alabama,202405,74
Alabama,202406,79
Alabama,202407,81.5
Alabama,202408,80.9
Alabama,202409,75.4
Alabama,202410,66.4
Alabama,202411,61.2
Alabama,202412,48.4
Alabama,202501,40
Alabama,202502,52.8
Alabama,202503,58.3
Alabama,202504,66.7
Arizona,Date,Value
Arizona,195501,37
Arizona,195502,39
Arizona,195503,49.1
Arizona,195504,54.4
Arizona,195505,63.6
Arizona,195506,72.7
Arizona,195507,77
Arizona,195508,76.9
Arizona,195509,72.6
Arizona,195510,64.4
Arizona,195511,49.3
Arizona,195512,45.4
Arizona,195601,45.6
Arizona,195602,39.6
Arizona,195603,50.6
Arizona,195604,55.6
Arizona,195605,67.1
Arizona,195606,77.3
Arizona,195607,78.5
Arizona,195608,76
Arizona,195609,75.5
Arizona,195610,61
Arizona,195611,46.2
Arizona,195612,41.5
Arizona,195701,42.6
Arizona,195702,50.9
Arizona,195703,50.6
Arizona,195704,55.4
Arizona,195705,61.3
Arizona,195706,76.1
Arizona,195707,80.2
Arizona,195708,77.1
Arizona,195709,72
Arizona,195710,59.1
Arizona,195711,45
Arizona,195712,44.2
Arizona,195801,41.4
Arizona,195802,47.3
Arizona,195803,45
Arizona,195804,55.2
Arizona,195805,69.7
Arizona,195806,76.5
Arizona,195807,80.1
Arizona,195808,79.5
Arizona,195809,72.2
Arizona,195810,62.8
Arizona,195811,48.8
Arizona,195812,46.1
Arizona,195901,43.2
Arizona,195902,42.8
Arizona,195903,50.3
Arizona,195904,60.5
Arizona,195905,64.4
Arizona,195906,77.9
Arizona,195907,82
Arizona,195908,76.5
Arizona,195909,71.1
Arizona,195910,61.5
Arizona,195911,49.4
Arizona,195912,42.8
Arizona,196001,36.1
Arizona,196002,40.4
Arizona,196003,52.9
Arizona,196004,58.2
Arizona,196005,65.3
Arizona,196006,77.9
Arizona,196007,81.2
Arizona,196008,79.3
Arizona,196009,74.2
Arizona,196010,59.7
Arizona,196011,50.2
Arizona,196012,39.5
Arizona,196101,42.1
Arizona,196102,46
Arizona,196103,49.4
Arizona,196104,57.8
Arizona,196105,65.1
Arizona,196106,77.9
Arizona,196107,80.9
Arizona,196108,77.4
Arizona,196109,69.1
Arizona,196110,59.6
Arizona,196111,46.6
Arizona,196112,39.1
Arizona,196201,38.8
Arizona,196202,45
Arizona,196203,44.7
Arizona,196204,61.6
Arizona,196205,63.3
Arizona,196206,73.2
Arizona,196207,79
Arizona,196208,79.9
Arizona,196209,73.4
Arizona,196210,62.1
Arizona,196211,53
Arizona,196212,44
Arizona,196301,37.3
Arizona,196302,49.2
Arizona,196303,48.6
Arizona,196304,54.5
Arizona,196305,68.2
Arizona,196306,71.6
Arizona,196307,81.5
Arizona,196308,76.7
Arizona,196309,73.9
Arizona,196310,64.6
Arizona,196311,50.3
Arizona,196312,41.1
Arizona,196401,37.4
Arizona,196402,39.1
Arizona,196403,45
Arizona,196404,54.2
Arizona,196405,64.3
Arizona,196406,72.7
Arizona,196407,80.9
Arizona,196408,76.7
Arizona,196409,70.4
Arizona,196410,64.8
Arizona,196411,45.8
Arizona,196412,41.9
Arizona,196501,43.3
Arizona,196502,43
Arizona,196503,46.4
Arizona,196504,54.8
Arizona,196505,61.8
Arizona,196506,69
Arizona,196507,78.8
Arizona,196508,77.9
Arizona,196509,68.6
Arizona,196510,63.3
Arizona,196511,52.6
Arizona,196512,42.2
Arizona,196601,37.8
Arizona,196602,39.2
Arizona,196603,50.9
Arizona,196604,58.5
Arizona,196605,68.1
Arizona,196606,74.5
Arizona,196607,80.4
Arizona,196608,78.8
Arizona,196609,72.1
Arizona,196610,60.4
Arizona,196611,51.8
Arizona,196612,41.5
Arizona,196701,40.2
Arizona,196702,46
Arizona,196703,52.5
Arizona,196704,52.3
Arizona,196705,63.9
Arizona,196706,71.5
Arizona,196707,80.1
Arizona,196708,78.1
Arizona,196709,71.6
Arizona,196710,62.8
Arizona,196711,52.8
Arizona,196712,36.2
Arizona,196801,38.6
Arizona,196802,49
Arizona,196803,50
Arizona,196804,54.4
Arizona,196805,64.6
Arizona,196806,75.1
Arizona,196807,78.4
Arizona,196808,74
Arizona,196809,71.2
Arizona,196810,61.7
Arizona,196811,49
Arizona,196812,37.8
Arizona,196901,44.7
Arizona,196902,42.7
Arizona,196903,45.8
Arizona,196904,57.5
Arizona,196905,67
Arizona,196906,72.5
Arizona,196907,80.4
Arizona,196908,81.1
Arizona,196909,73.6
Arizona,196910,57.8
Arizona,196911,49.2
Arizona,196912,44.1
Arizona,197001,40.8
Arizona,197002,47.8
Arizona,197003,47.3
Arizona,197004,51.5
Arizona,197005,66.4
Arizona,197006,74.7
Arizona,197007,81
Arizona,197008,79.3
Arizona,197009,69.6
Arizona,197010,57.1
Arizona,197011,50.4
Arizona,197012,41.6
Arizona,197101,41
Arizona,197102,44.1
Arizona,197103,50.6
Arizona,197104,55.4
Arizona,197105,61.5
Arizona,197106,73.8
Arizona,197107,81.8
Arizona,197108,77
Arizona,197109,71.1
Arizona,197110,56.3
Arizona,197111,47.9
Arizona,197112,38.1
Arizona,197201,41.2
Arizona,197202,46.9
Arizona,197203,57
Arizona,197204,58
Arizona,197205,65.2
Arizona,197206,74.3
Arizona,197207,81.5
Arizona,197208,77.2
Arizona,197209,71.2
Arizona,197210,59.3
Arizona,197211,44.9
Arizona,197212,39
Arizona,197301,37.3
Arizona,197302,43.6
Arizona,197303,44
Arizona,197304,53.1
Arizona,197305,66.1
Arizona,197306,74.4
Arizona,197307,79.4
Arizona,197308,78.1
Arizona,197309,70.8
Arizona,197310,61.6
Arizona,197311,49.3
Arizona,197312,43
Arizona,197401,39.9
Arizona,197402,42.5
Arizona,197403,52.2
Arizona,197404,56.1
Arizona,197405,67.1
Arizona,197406,78.9
Arizona,197407,78.7
Arizona,197408,76.8
Arizona,197409,72.1
Arizona,197410,61.8
Arizona,197411,49
Arizona,197412,38.7
Arizona,197501,40
Arizona,197502,42.5
Arizona,197503,47
Arizona,197504,50.3
Arizona,197505,62.1
Arizona,197506,72.8
Arizona,197507,79.3
Arizona,197508,77.8
Arizona,197509,72
Arizona,197510,60.3
Arizona,197511,48.5
Arizona,197512,42.1
Arizona,197601,41.7
Arizona,197602,47.7
Arizona,197603,47.9
Arizona,197604,54.9
Arizona,197605,66.3
Arizona,197606,74
Arizona,197607,78.9
Arizona,197608,76.7
Arizona,197609,69.8
Arizona,197610,58.5
Arizona,197611,49.9
Arizona,197612,41.3
Arizona,197701,39.6
Arizona,197702,46.4
Arizona,197703,46.1
Arizona,197704,58.1
Arizona,197705,61.3
Arizona,197706,76.2
Arizona,197707,80.3
Arizona,197708,79.1
Arizona,197709,73.1
Arizona,197710,63.7
Arizona,197711,51.8
Arizona,197712,46.8
Arizona,197801,43.1
Arizona,197802,44.6
Arizona,197803,52.7
Arizona,197804,56
Arizona,197805,64
Arizona,197806,76.3
Arizona,197807,80.6
Arizona,197808,77.5
Arizona,197809,71.4
Arizona,197810,64.6
Arizona,197811,49.2
Arizona,197812,37.6
Arizona,197901,36.5
Arizona,197902,42.3
Arizona,197903,47.9
Arizona,197904,56.4
Arizona,197905,64.1
Arizona,197906,74.2
Arizona,197907,79.7
Arizona,197908,75.6
Arizona,197909,75.3
Arizona,197910,63.8
Arizona,197911,46.2
Arizona,197912,43.8
Arizona,198001,44.1
Arizona,198002,47.6
Arizona,198003,47.6
Arizona,198004,56.2
Arizona,198005,61.4
Arizona,198006,75
Arizona,198007,81.4
Arizona,198008,77.9
Arizona,198009,72.6
Arizona,198010,60.8
Arizona,198011,50.5
Arizona,198012,47.7
Arizona,198101,45.8
Arizona,198102,47.3
Arizona,198103,48.9
Arizona,198104,60.6
Arizona,198105,65.3
Arizona,198106,78.6
Arizona,198107,80.7
Arizona,198108,79.2
Arizona,198109,72.8
Arizona,198110,59.1
Arizona,198111,52.4
Arizona,198112,45.2
Arizona,198201,41
Arizona,198202,45.6
Arizona,198203,49.2
Arizona,198204,56.8
Arizona,198205,64.2
Arizona,198206,72.2
Arizona,198207,78.5
Arizona,198208,78.2
Arizona,198209,72
Arizona,198210,58.2
Arizona,198211,48.2
Arizona,198212,40.8
Arizona,198301,42.6
Arizona,198302,45.2
Arizona,198303,48.8
Arizona,198304,51.3
Arizona,198305,64
Arizona,198306,72.4
